lat,lon
-38.31453,144.18472
-37.075,142.425
-36.71667,144.27583
-38.125,145.275
-37.57203,149.58131
-38.1403,141.62765
-37.58186,142.25135
-37.74167,145.10833
-37.73648,149.51893
-37.74338,145.14386
-38.49852,142.8347
-35.99999,144.96371
-37.15833,143.75833
-37.81279,144.98082
-35.90833,145.425
-36.92384,146.281
-37.74849,145.58464
-37.74167,145.09167
-38.14167,145.275
-36.625,143.675
-36.60833,143.69167
-37.66415,143.69057
-36.09167,146.29167
-38.375,145.54167
-36.24167,146.59167
-37.74167,145.09167
-38.0818,147.58462
-37.84167,145.14167
-34.68435,142.27149
-36.625,143.625
-36.91514,146.41795
-36.50833,142.025
-36.22023,143.86217
-37.74167,145.09167
-35.16519,141.45132
-37.84167,145.14167
-35.90833,145.425
-36.41269,146.02475
-38.30833,145.20833
-36.475,143.74167
-37.58182,145.58464
-37.69327,145.16666
-38.24167,145.30833
-37.00833,142.375
-37.81279,144.98082
-36.91516,144.41798
-37.95683,145.14299
-35.90833,145.25833
-34.13539,141.12335
-38.3302,144.05257
-37.89167,145.30833
-35.24167,143.425
-37.81279,144.98082
-37.15833,143.75833
-36.74429,145.49301
-37.83998,141.17926
-38.09167,144.275
-37.74167,145.09167
-36.0818,146.5846
-38.125,145.275
-36.2353,146.23083
-37.7008,148.11501
-35.825,144.34167
-36.89771,148.41825
-36.82406,146.06329
-37.74167,145.09167
-38.99852,143.66803
-37.71026,145.1583
-38.24167,145.25833
-36.40833,146.75833
-37.86546,147.89431
-37.63668,144.88028
-38.39533,145.16967
-38.08181,146.58463
-37.33183,144.66798
-37.34057,147.93547
-38.075,145.925
-38.0818,147.58462
-36.59167,142.675
-37.8024,145.17191
-37.025,142.375
-37.74167,145.09167
-37.825,145.15917
-37.00833,142.375
-37.49353,145.07428
-35.575,142.09167
-36.75833,142.15833
-36.64167,143.625
-37.025,142.375
-37.74167,145.09167
-38.075,145.925
-35.24167,143.425
-37.74978,144.9848
-37.81279,144.98082
-36.74167,146.09167
-36.60833,143.725
-37.42249,148.80101
-37.575,145.09167
-37.85833,145.125
-38.125,145.275
-36.41513,147.0846
-37.64941,145.30715
-37.81279,144.98082
-36.60833,143.725
-37.19014,146.34295
-37.74167,145.09167
-36.70685,142.04301
-38.125,145.275
-36.64167,143.64167
-38.24167,145.30833
-36.74167,146.09167
-37.825,145.14167
-35.91514,145.58461
-37.74167,145.09167
-37.69607,145.11555
-34.91517,143.08463
-36.6235,143.70965
-37.56499,145.09055
-38.1902,141.50971
-36.05495,147.21387
-37.025,142.375
-37.74167,145.09167
-37.91997,147.24988
-37.00833,142.375
-37.50094,145.03223
-37.15833,143.75833
-34.08133,141.03548
-37.83722,145.0916
-37.025,142.375
-36.475,143.75833
-38.14851,144.118
-36.97763,143.769
-36.45833,143.74167
-36.6911,145.35638
-34.82324,142.98374
-37.075,142.425
-38.3922,145.1217
-37.74167,145.09167
-37.15833,143.75833
-37.00833,142.375
-37.97608,145.47045
-36.86062,145.23498
-36.91515,145.2513
-36.59167,142.675
-36.41514,146.25128
-36.40833,146.75833
-37.15833,143.75833
-37.00833,142.375
-37.625,144.85833
-36.41269,146.02475
-35.92803,144.40723
-37.6729,145.58555
-38.3273,145.17051
-37.34167,144.125
-36.60833,143.69167
-37.84167,145.14167
-37.58186,142.08469
-36.64167,143.64167
-37.37385,147.50331
-37.41515,145.41797
-36.39213,145.37831
-35.33185,141.45133
-36.31935,143.55391
-36.24167,146.59167
-36.74852,142.08467
-36.45833,143.74167
-36.74167,146.09167
-36.77615,143.23742
-38.1531,141.4524
-38.13289,145.2755
-34.68435,142.27149
-37.80023,148.73291
-38.08183,145.08466
-35.65529,143.65076
-37.81569,145.33804
-36.59167,142.675
-38.21516,145.20132
-37.90833,147.74167
-38.15833,145.10833
-36.24167,146.59167
-36.74846,147.25127
-36.45833,143.74167
-37.74167,145.09167
-36.59167,142.675
-36.24845,148.08458
-36.59167,142.675
-37.825,145.00833
-38.40833,143.60833
-37.775,145.14167
-37.24852,142.08468
-37.74167,145.09167
-38.2289,146.90356
-34.16598,141.50422
-36.41514,146.08461
-36.74852,142.08467
-37.74849,145.58464
-37.99167,144.84167
-37.63494,147.5708
-37.825,144.675
-36.86933,143.73704
-38.2485,144.25134
-37.91912,147.68904
-34.75215,142.35052
-37.74849,145.58464
-37.15833,143.75833
-37.04789,142.78549
-37.575,145.09167
-37.40833,149.09167
-38.2485,144.25134
-36.86933,143.73704
-37.775,145.14167
-38.3257,145.18967
-34.75833,142.64167
-37.76009,148.35736
-37.74167,145.09167
-36.58181,145.91795
-38.00833,145.14167
-37.92349,145.39298
-37.825,143.675
-37.68586,145.0421
-37.15833,143.75833
-36.49852,141.83467
-37.74167,145.09167
-36.5818,146.58461
-36.8243,146.06048
-35.90833,145.25833
-37.96254,144.41045
-38.125,145.175
-38.15833,145.10833
-38.24167,145.025
-37.74167,145.09167
-36.58181,145.91795
-37.83182,145.33465
-35.90833,145.25833
-37.15833,143.75833
-38.08992,145.72009
-37.15833,143.75833
-38.14167,145.175
-37.66586,145.67752
-36.58181,145.91795
-38.3903,145.12396
-37.6485,147.85997
-36.45833,143.74167
-37.0944,142.8417
-38.375,145.19167
-36.74167,146.09167
-36.81817,144.31562
-37.95681,146.20964
-36.80083,143.21909
-37.075,142.59167
-35.83177,142.21869
-34.91517,143.08463
-36.91516,144.41798
-37.88262,145.71914
-37.88132,145.14722
-37.85678,145.31379
-36.24167,146.59167
-37.95083,145.25861
-36.59167,143.74167
-37.00833,142.375
-37.15833,143.75833
-35.69167,144.20833
-37.74167,145.09167
-36.78462,144.38738
-37.76636,143.86262
-37.79166,144.95754
-38.41517,144.918
-36.58182,144.7513
-36.41269,146.02475
-36.84444,143.2625
-38.4152,141.58471
-38.29167,145.175
-36.625,143.59167
-36.5818,147.0846
-38.26639,145.04693
-37.84167,145.14167
-37.46714,149.29279
-37.99424,141.01678
-37.94851,145.66034
-37.74167,145.09167
-38.40833,144.25833
-38.20609,145.11275
-38.075,145.925
-37.84167,145.14167
-36.24847,146.08461
-38.29167,146.59167
-37.825,145.14167
-36.58182,144.91797
-36.97763,143.769
-37.93162,141.31831
-37.74167,145.10833
-37.84167,145.14167
-38.29167,146.59167
-38.075,145.925
-36.79016,144.29298
-37.575,145.09167
-37.74167,145.10833
-37.36079,149.55712
-37.625,144.975
-37.84167,145.14167
-35.575,142.09167
-37.85833,145.125
-37.825,145.14167
-35.79016,144.20963
-35.91513,147.41792
-37.93283,145.77971
-37.76225,145.20794
-37.84167,145.14167
-35.575,142.09167
-37.69773,145.55218
-36.8366,145.68495
-37.74338,145.14386
-37.81942,145.27252
-37.91516,145.08465
-37.74848,146.08463
-37.84167,145.14167
-36.82223,146.05995
-37.99849,145.83464
-37.70302,145.27531
-38.05833,147.775
-37.81728,144.9561
-37.91516,145.08465
-36.45833,143.74167
-37.84167,145.14167
-37.70833,145.10833
-37.99849,145.83464
-35.74783,142.85994
-37.74167,145.09167
-38.41517,144.918
-37.24847,146.75128
-38.34421,144.96614
-35.24167,143.425
-37.73345,145.20084
-36.44654,141.79977
-36.86933,143.73704
-37.74167,145.09167
-37.58639,145.44335
-36.86933,143.73704
-37.15833,143.75833
-36.60833,143.725
-38.49848,147.0013
-38.24167,145.30833
-36.59167,142.675
-37.92757,141.4537
-36.65833,143.59167
-37.825,143.675
-38.08181,146.41797
-37.74853,142.08469
-37.15833,143.75833
-38.0818,147.58462
-37.625,143.29167
-37.74167,145.09167
-38.25833,146.225
-36.59167,142.675
-37.15833,143.75833
-37.70833,142.04167
-37.76848,145.07965
-36.58183,143.91798
-37.91912,147.68904
-38.39167,145.14167
-37.74167,145.10833
-37.83182,146.0013
-37.91516,145.08465
-37.70833,142.04167
-37.925,145.325
-36.475,143.74167
-38.025,141.00833
-37.74167,145.09167
-37.98641,145.53451
-37.16512,148.50125
-37.79167,145.175
-37.70833,142.04167
-38.4985,145.168
-37.74167,145.09167
-36.875,145.70833
-37.74167,145.09167
-38.25833,146.225
-37.29152,141.3675
-37.74167,145.09167
-37.70833,142.04167
-36.7819,144.38635
-37.74167,145.09167
-37.82347,147.60961
-37.83167,145.35611
-37.8107,147.56874
-37.81942,145.27252
-38.20609,145.11275
-38.24439,145.03063
-38.37655,144.25442
-34.70833,142.34167
-35.16518,142.16798
-37.64167,145.29167
-37.24848,145.7513
-37.81942,145.27252
-37.74167,145.09167
-37.00833,142.375
-35.575,142.09167
-37.575,145.09167
-36.5818,147.0846
-38.04215,145.71978
-38.58185,143.25136
-36.92384,146.281
-38.00365,145.13276
-37.00833,142.375
-38.14167,145.275
-37.24849,145.08464
-37.425,143.14167
-37.84167,145.19167
-34.26653,141.60475
-36.49847,146.33461
-38.04015,146.20964
-36.74167,146.09167
-37.74167,145.09167
-37.74167,145.09167
-37.78183,145.15132
-38.075,141.425
-38.02045,141.63656
-37.59167,148.125
-36.71061,146.20462
-36.74167,146.09167
-36.59167,142.675
-37.74167,145.09167
-37.74167,145.09167
-37.84167,145.10833
-37.78183,145.15132
-36.90833,145.75833
-37.74167,145.09167
-35.83177,142.21869
-36.86933,143.73704
-37.74167,145.09167
-35.18185,141.81799
-36.08182,145.25129
-37.3964,144.92653
-37.478,145.23413
-37.79167,145.175
-35.69167,144.20833
-38.05833,147.775
-37.82976,145.02467
-37.74167,145.09167
-37.74167,145.09167
