RprtDt,StateCd,SrvcDstrctNm,PrtcpntCnt
31-Mar-19,QLD,Toowoomba,361
31-Mar-19,QLD,Townsville,244
31-Mar-19,SA,Adelaide Hills,51
31-Mar-19,SA,"Barossa, Light and Lower North",34
31-Mar-19,SA,Eastern Adelaide,174
31-Mar-19,SA,Eyre and Western,32
31-Mar-19,SA,Far North (SA),20
31-Mar-19,SA,Fleurieu and Kangaroo Island,41
31-Mar-19,SA,Limestone Coast,66
31-Mar-19,SA,Murray and Mallee,92
31-Mar-19,SA,Northern Adelaide,594
31-Mar-19,SA,Southern Adelaide,634
31-Mar-19,SA,Western Adelaide,151
31-Mar-19,SA,Yorke and Mid North,53
31-Mar-19,TAS,TAS North,186
31-Mar-19,TAS,TAS North West,177
31-Mar-19,TAS,TAS South East,123
31-Mar-19,TAS,TAS South West,263
31-Mar-19,VIC,Barwon,352
31-Mar-19,VIC,Bayside Peninsula,661
31-Mar-19,VIC,Brimbank Melton,93
31-Mar-19,VIC,Central Highlands,226
31-Mar-19,VIC,Hume Moreland,164
31-Mar-19,VIC,Inner East Melbourne,678
31-Mar-19,VIC,Inner Gippsland,128
31-Mar-19,VIC,Loddon,222
31-Mar-19,VIC,Mallee,19
31-Mar-19,VIC,North East Melbourne,658
31-Mar-19,VIC,Outer East Melbourne,410
31-Mar-19,VIC,Outer Gippsland,53
31-Mar-19,VIC,Ovens Murray,134
31-Mar-19,VIC,Southern Melbourne,178
31-Mar-19,VIC,VIC - Other,<11
31-Mar-19,VIC,Western District,244
31-Mar-19,VIC,Western Melbourne,105
31-Mar-19,WA,Central North Metro,23
31-Mar-19,WA,Central South Metro,115
31-Mar-19,WA,North East Metro,451
31-Mar-19,WA,North Metro,29
31-Mar-19,WA,South East Metro,23
31-Mar-19,WA,South Metro,229
31-Mar-19,WA,South West,32
31-Mar-19,WA,WA - Other,15
