RprtDt,StateCd,SrvcDstrctNm,PrtcpntCnt
31-Mar-21,VIC,Inner East Melbourne,771
31-Mar-21,VIC,Inner Gippsland,136
31-Mar-21,VIC,Loddon,247
31-Mar-21,VIC,Mallee,84
31-Mar-21,VIC,North East Melbourne,703
31-Mar-21,VIC,Outer East Melbourne,443
31-Mar-21,VIC,Outer Gippsland,67
31-Mar-21,VIC,Ovens Murray,139
31-Mar-21,VIC,Southern Melbourne,250
31-Mar-21,VIC,Western District,268
31-Mar-21,VIC,Western Melbourne,266
31-Mar-21,WA,Central North Metro,262
31-Mar-21,WA,Central South Metro,89
31-Mar-21,WA,Goldfields-Esperance,13
31-Mar-21,WA,Great Southern,15
31-Mar-21,WA,Midwest-Gascoyne,15
31-Mar-21,WA,North East Metro,304
31-Mar-21,WA,North Metro,116
31-Mar-21,WA,Other,<11
31-Mar-21,WA,South East Metro,238
31-Mar-21,WA,South Metro,70
31-Mar-21,WA,South West,33
31-Dec-20,ACT,ACT,127
31-Dec-20,NSW,Central Coast,259
31-Dec-20,NSW,Hunter New England,789
31-Dec-20,NSW,Illawarra Shoalhaven,343
31-Dec-20,NSW,Mid North Coast,165
31-Dec-20,NSW,Murrumbidgee,253
31-Dec-20,NSW,Nepean Blue Mountains,387
31-Dec-20,NSW,North Sydney,759
31-Dec-20,NSW,Northern NSW,219
31-Dec-20,NSW,Other,<11
31-Dec-20,NSW,South Eastern Sydney,431
31-Dec-20,NSW,South Western Sydney,465
31-Dec-20,NSW,Southern NSW,143
31-Dec-20,NSW,Sydney,267
31-Dec-20,NSW,Western NSW,338
31-Dec-20,NSW,Western Sydney,685
31-Dec-20,NT,Central Australia,35
31-Dec-20,NT,Darwin Urban,76
31-Dec-20,NT,Katherine,16
31-Dec-20,NT,Other,<11
31-Dec-20,QLD,Beenleigh,98
31-Dec-20,QLD,Brisbane,318
31-Dec-20,QLD,Bundaberg,56
31-Dec-20,QLD,Caboolture/Strathpine,113
31-Dec-20,QLD,Cairns,62
31-Dec-20,QLD,Ipswich,216
31-Dec-20,QLD,Mackay,25
31-Dec-20,QLD,Maroochydore,104
31-Dec-20,QLD,Maryborough,68
31-Dec-20,QLD,Robina,100
31-Dec-20,QLD,Rockhampton,97
31-Dec-20,QLD,Toowoomba,209
31-Dec-20,QLD,Townsville,58
31-Dec-20,SA,Adelaide Hills,37
31-Dec-20,SA,"Barossa, Light and Lower North",20
31-Dec-20,SA,Eastern Adelaide,165
31-Dec-20,SA,Eyre and Western,27
31-Dec-20,SA,Far North (SA),19
31-Dec-20,SA,Fleurieu and Kangaroo Island,33
31-Dec-20,SA,Limestone Coast,43
31-Dec-20,SA,Murray and Mallee,71
31-Dec-20,SA,Northern Adelaide,543
31-Dec-20,SA,Southern Adelaide,540
31-Dec-20,SA,Western Adelaide,147
31-Dec-20,SA,Yorke and Mid North,31
31-Dec-20,TAS,TAS North,108
31-Dec-20,TAS,TAS North West,110
31-Dec-20,TAS,TAS South East,59
31-Dec-20,TAS,TAS South West,140
31-Dec-20,VIC,Barwon,318
31-Dec-20,VIC,Bayside Peninsula,751
31-Dec-20,VIC,Brimbank Melton,192
31-Dec-20,VIC,Central Highlands,253
31-Dec-20,VIC,Goulburn,90
31-Dec-20,VIC,Hume Moreland,214
31-Dec-20,VIC,Inner East Melbourne,760
31-Dec-20,VIC,Inner Gippsland,137
31-Dec-20,VIC,Loddon,239
31-Dec-20,VIC,Mallee,83
31-Dec-20,VIC,North East Melbourne,690
31-Dec-20,VIC,Outer East Melbourne,433
31-Dec-20,VIC,Outer Gippsland,69
31-Dec-20,VIC,Ovens Murray,135
