SA2_NAME16,total_pop,ancestry_1,ancestry_2,total_ancestry,pop_prop,sa3_name_2016,sa4_name_2016,focus_area,greater_syd_pop,greater_syd_average_south_asian,area_diff
Baulkham Hills (West) - Bella Vista,20068,3009,258,3267,0.1627964919274467,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,0.08550128587792398
Castle Hill - West,5239,774,62,836,0.15957243748807023,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,0.08227723143854752
Granville - Clyde,20830,2950,279,3229,0.15501680268843016,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,0.07772159663890744
Ashfield,24497,3411,284,3695,0.15083479609748132,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,0.07353959004795861
Liverpool,27172,3629,440,4069,0.14974974238186367,Liverpool,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,0.07245453633234096
Riverstone - Marsden Park,17307,2341,234,2575,0.14878372912694285,Blacktown - North,Sydney - Blacktown,Greater Sydney,4495958,0.07729520604952271,0.07148852307742014
Warwick Farm,5798,746,101,847,0.1460848568471887,Liverpool,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,0.06878965079766598
Rooty Hill - Minchinbury,21152,2717,362,3079,0.14556543116490167,Mount Druitt,Sydney - Blacktown,Greater Sydney,4495958,0.07729520604952271,0.06827022511537896
Canterbury (South) - Campsie,30620,3869,313,4182,0.13657740039190072,Canterbury,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,0.05928219434237801
Chullora,900,111,11,122,0.13555555555555557,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,0.05826034950603286
Lidcombe,19988,2407,247,2654,0.1327796678006804,Auburn,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,0.05548446175115769
Waitara - Wahroonga (West),9602,1219,50,1269,0.13215996667360966,Hornsby,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,0.05486476062408695
Bankstown - North,16237,1890,241,2131,0.13124345630350434,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,0.05394825025398163
Hoxton Park - Carnes Hill - Horningsea Park,11588,1234,223,1457,0.12573351743182604,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,0.048438311382303326
Holsworthy - Wattle Grove,20706,2331,231,2562,0.12373225152129817,Liverpool,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,0.04643704547177546
Kellyville,23231,2561,307,2868,0.12345572726098747,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,0.04616052121146476
West Ryde - Meadowbank,19375,2183,185,2368,0.12221935483870967,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.07729520604952271,0.04492414878918696
Castle Hill - East,5594,611,64,675,0.1206649982123704,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,0.043369792162847684
Merrylands - Holroyd,28452,3033,382,3415,0.12002671165471672,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,0.04273150560519401
West Pennant Hills,12640,1308,129,1437,0.11368670886075949,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,0.03639150281123678
Epping - North Epping,27093,2741,202,2943,0.10862584431402945,Pennant Hills - Epping,Sydney - Ryde,Greater Sydney,4495958,0.07729520604952271,0.031330638264506744
