dwelling_summary,greater_sydney,sa4,prop
Flat or apartment,0.2977693701197069,Blacktown,0.05642268714389216
Flat or apartment,0.2977693701197069,Parramatta,0.33041119683830283
Other,0.013146291636335072,Blacktown,0.009740695355056844
Other,0.013146291636335072,Parramatta,0.01131515021837359
Semi-detached,0.13967383380061477,Blacktown,0.16052916394601024
Semi-detached,0.13967383380061477,Parramatta,0.1544285156889152
Separate house,0.5494105044433433,Blacktown,0.7733074535550407
Separate house,0.5494105044433433,Parramatta,0.5038451372544084
