X,Y,OBJECTID,asset_id,TreeType,SpeciesName,CommonName,TreeHeight,TreeCanopyEW,TreeCanopyNS,Tree_Status
151.1855713,-33.90585366,19113,TS06945,Street Tree,Jacaranda mimosifolia,Jacaranda,10,8,7,Tree
151.1855946,-33.90583029,19114,TS06947,Street Tree,Jacaranda mimosifolia,Jacaranda,8,7,5,Tree
151.1847051,-33.90565568,19117,TS06931,Street Tree,Jacaranda mimosifolia,Jacaranda,4,2,1,Tree
151.1863546,-33.90596584,19118,TS06964,Street Tree,Jacaranda mimosifolia,Jacaranda,6,9,6,Tree
151.1865859,-33.90596356,19119,TS06966,Street Tree,Jacaranda mimosifolia,Jacaranda,9,7,8,Tree
151.1868177,-33.90598789,19120,TS06969,Street Tree,Jacaranda mimosifolia,Jacaranda,11,11,10,Tree
151.1872058,-33.90604861,19121,TS06972,Street Tree,Jacaranda mimosifolia,Jacaranda,10,10,10,Tree
151.1872763,-33.90605353,19122,TS06973,Street Tree,Jacaranda mimosifolia,Jacaranda,10,5,6,Tree
151.1878362,-33.90639217,19123,TS06979,Street Tree,Jacaranda mimosifolia,Jacaranda,9,8,8,Tree
151.186239,-33.90594808,19124,TS35417,Street Tree,Jacaranda mimosifolia,Jacaranda,6,1,3,Tree
151.2164556,-33.89139529,19416,TS03768,Street Tree,Jacaranda mimosifolia,Jacaranda,17,20,22,Tree
151.1852648,-33.9058083,19540,TS06942,Street Tree,Jacaranda mimosifolia,Jacaranda,9,7,8,Tree
151.1853646,-33.9058288,19541,TS06943,Street Tree,Jacaranda mimosifolia,Jacaranda,8,6,5,Tree
151.1850893,-33.90577343,19622,TS06948,Street Tree,Jacaranda mimosifolia,Jacaranda,8,8,7,Tree
151.1858165,-33.90588766,19628,TS06961,Street Tree,Jacaranda mimosifolia,Jacaranda,10,11,11,Tree
151.1859141,-33.90590524,19629,TS06962,Street Tree,Jacaranda mimosifolia,Jacaranda,12,16,14,Tree
151.1861033,-33.90589946,19630,TS06963,Street Tree,Jacaranda mimosifolia,Jacaranda,10,15,10,Tree
151.1866493,-33.90597784,19631,TS06967,Street Tree,Jacaranda mimosifolia,Jacaranda,10,6,8,Tree
151.1867288,-33.90598659,19632,TS06968,Street Tree,Jacaranda mimosifolia,Jacaranda,11,8,12,Tree
151.1874705,-33.90613421,19633,TS06977,Street Tree,Jacaranda mimosifolia,Jacaranda,10,10,8,Tree
151.2106754,-33.88583717,19706,TS04400,Street Tree,Jacaranda mimosifolia,Jacaranda,6,6,6,Tree
151.2106445,-33.88588487,19707,TS04401,Street Tree,Jacaranda mimosifolia,Jacaranda,5,3,3,Tree
151.2104723,-33.88621457,19709,TS04407,Street Tree,Jacaranda mimosifolia,Jacaranda,7,7,9,Tree
151.2069486,-33.92242943,19758,TS07244,Street Tree,Jacaranda mimosifolia,Jacaranda,8,7,8,Tree
151.1853447,-33.90579027,19803,TS06927,Street Tree,Jacaranda mimosifolia,Jacaranda,8,4,5,Tree
151.1846302,-33.90564511,19809,TS06932,Street Tree,Jacaranda mimosifolia,Jacaranda,4,2,2,Tree
151.1865085,-33.90595864,19810,TS06965,Street Tree,Jacaranda mimosifolia,Jacaranda,10,9,10,Tree
151.1868539,-33.9059979,19811,TS06970,Street Tree,Jacaranda mimosifolia,Jacaranda,11,8,8,Tree
151.1869264,-33.9060142,19812,TS06971,Street Tree,Jacaranda mimosifolia,Jacaranda,8,4,3,Tree
151.1873285,-33.90605998,19813,TS06974,Street Tree,Jacaranda mimosifolia,Jacaranda,10,10,8,Tree
151.1873691,-33.90607951,19814,TS06975,Street Tree,Jacaranda mimosifolia,Jacaranda,11,5,6,Tree
151.1971862,-33.91668493,19847,TS07358,Street Tree,Jacaranda mimosifolia,Jacaranda,8,9,8,Tree
151.1970105,-33.91663051,19848,TS07360,Street Tree,Jacaranda mimosifolia,Jacaranda,7,4,4,Tree
151.1969524,-33.91658872,19849,TS07361,Street Tree,Jacaranda mimosifolia,Jacaranda,8,9,7,Tree
151.1926075,-33.91457871,19856,TS07404,Street Tree,Jacaranda mimosifolia,Jacaranda,9,8,6,Tree
151.193213,-33.91484703,19859,TS07407,Street Tree,Jacaranda mimosifolia,Jacaranda,8,7,8,Tree
151.2073545,-33.91919955,19934,TS07179,Street Tree,Jacaranda mimosifolia,Jacaranda,8,8,9,Tree
151.2069462,-33.92205635,19943,TS07230,Street Tree,Jacaranda mimosifolia,Jacaranda,6,6,9,Tree
151.1925558,-33.91454522,19975,TS07403,Street Tree,Jacaranda mimosifolia,Jacaranda,9,5,8,Tree
151.2085611,-33.91518878,20031,TS07088,Street Tree,Jacaranda mimosifolia,Jacaranda,10,10,16,Tree
151.2071056,-33.92258979,20062,TS07239,Street Tree,Jacaranda mimosifolia,Jacaranda,6,6,6,Tree
