location_name,SA4,address,latitude,longitude,access,train,ferry,lightrail,bus,taxi,regional_coach,regional_train,coach
Mona Vale B-Line,Sydney - Northern Beaches,"Barrenjoey Rd, Mona Vale NSW 2103",-33.677752,151.304356,wheelchair_access,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Moore Park Light Rail,Sydney - Eastern Suburbs,"Moore Park, Moore Park NSW 2021",-33.89376,151.22178,wheelchair_access,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Moree Station,Outer,"Gosport St, Moree NSW 2400",-29.473849,149.848164,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Morisset Station,Outer,"Dora St, Morisset NSW 2264",-33.109246,151.487734,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Mortdale Station,Sydney - Inner South West,"Cnr Morts Rd & Pitt St, Mortdale NSW 2223",-33.970587,151.081288,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Mosman Bay Wharf,Sydney - North Sydney and Hornsby,"Avenue Rd, Mosman NSW 2088",-33.838476,151.232338,wheelchair_access,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Mount Druitt Station,Sydney - Blacktown,"North Pde, Mount Druitt NSW 2770",-33.769542,150.819799,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Murrurundi Station,Outer,"Victoria St, Murrurundi NSW 2338",-31.768429,150.839451,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Museum Station,Sydney - City and Inner South,"Elizabeth St, Sydney NSW 2000",-33.8757,151.210106,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Muswellbrook Station,Outer,"Market St, Muswellbrook NSW 2333",-32.267493,150.89032,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Nambucca Heads Station,Outer,"Railway Pde, Nambucca Heads NSW 2448",-30.629129,152.977472,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Narrabeen B-Line,Sydney - Northern Beaches,"Pittwater Rd, Narrabeen NSW 2101",-33.713467,151.297416,wheelchair_access,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Narrabri Station,Outer,"Bowen St, Narrabri NSW 2390",-30.325322,149.79202,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Neutral Bay Junction,Sydney - North Sydney and Hornsby,"Military Rd, Neutral Bay NSW 2089",-33.831653,151.22274,wheelchair_access,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Neutral Bay Wharf,Sydney - North Sydney and Hornsby,"Hayes St, Neutral Bay NSW 2089",-33.84232,151.219313,wheelchair_access,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Newcastle Beach Light Rail,Outer,"Scott St, Newcastle NSW 2300",-32.927465,151.786195,wheelchair_access,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Newcastle Interchange,Outer,"Station Street, Wickham NSW 2293",-32.924308,151.75965,wheelchair_access,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Newtown Station,Sydney - City and Inner South,"King St, Newtown NSW 2042",-33.897883,151.179925,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
North Sydney Station,Sydney - North Sydney and Hornsby,"Blue St, North Sydney NSW 2060",-33.841209,151.20741,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
North Wollongong Station,Outer,"Stafford St, North Wollongong NSW 2500",-34.412593,150.891349,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Oak Flats Station,Outer,"Stanford Dr, Oak Flats NSW 2529",-34.572231,150.820908,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Oatley Station,Sydney - Inner South West,"Oatley Pde, Oatley NSW 2223",-33.980845,151.078965,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
