SA4,type,factor
Sydney - Baulkham Hills and Hawkesbury,vdt1,1.08
Sydney - Blacktown,vdt1,1.02
Sydney - City and Inner South,vdt1,1.76
Sydney - Eastern Suburbs,vdt1,1.63
Sydney - Inner South West,vdt1,1.15
Sydney - Inner West,vdt1,1.36
Sydney - North Sydney and Hornsby,vdt1,1.25
Sydney - Northern Beaches,vdt1,1.18
Sydney - Outer South West,vdt1,1.01
Sydney - Outer West and Blue Mountains,vdt1,1.01
Sydney - Parramatta,vdt1,1.08
Sydney - Ryde,vdt1,1.17
Sydney - South West,vdt1,1.03
Sydney - Sutherland,vdt1,1.13
Sydney - Baulkham Hills and Hawkesbury,vdt2,1.11
Sydney - Blacktown,vdt2,1.03
Sydney - City and Inner South,vdt2,2.25
Sydney - Eastern Suburbs,vdt2,2.04
Sydney - Inner South West,vdt2,1.24
Sydney - Inner West,vdt2,1.59
Sydney - North Sydney and Hornsby,vdt2,1.39
Sydney - Northern Beaches,vdt2,1.3
Sydney - Outer South West,vdt2,1
Sydney - Outer West and Blue Mountains,vdt2,0.99
Sydney - Parramatta,vdt2,1.13
Sydney - Ryde,vdt2,1.29
Sydney - South West,vdt2,1.04
Sydney - Sutherland,vdt2,1.22
Sydney - Baulkham Hills and Hawkesbury,vdt3,1.13
Sydney - Blacktown,vdt3,1.03
Sydney - City and Inner South,vdt3,2.53
Sydney - Eastern Suburbs,vdt3,2.27
Sydney - Inner South West,vdt3,1.29
Sydney - Inner West,vdt3,1.71
Sydney - North Sydney and Hornsby,vdt3,1.47
Sydney - Northern Beaches,vdt3,1.36
Sydney - Outer South West,vdt3,0.99
Sydney - Outer West and Blue Mountains,vdt3,0.99
Sydney - Parramatta,vdt3,1.16
Sydney - Ryde,vdt3,1.35
Sydney - South West,vdt3,1.05
Sydney - Sutherland,vdt3,1.26
