id,lat,lon,name
20978285,-33.7101086,150.3757786,Blue Mist Cafe
20979900,-33.8896752,151.2754242,The Blue Chip
113372454,-36.3777292,148.3940636,Blue Cow Mountain
113381458,-30.8233333,150.1927778,Blue Vale
114381410,-29.0713889,150.6355556,Blue Nobby
114638241,-30.9483333,151.0677778,Blue Pinch
114651215,-28.5483333,153.1844444,Blue Knob
116972289,-33.3525,151.5011111,Blue Bay
116972324,-33.2108061,151.5041066,Blue Haven
117040756,-33.6088594,150.3587422,Blue Gum Forest
247696776,-33.7915217,151.1464959,Blue Gums
270993431,-33.8021808,151.3031233,Blue Fish Wall
303928640,-33.7759692,151.1371038,Blue Hole
314094739,-29.4336597,153.3414177,Blue Dolphin Holiday Park
316586467,-34.1373257,149.9987357,Limeburners Flat - Blue Mtns NP
316606132,-21.5779853,141.9225966,Blue Heeler Caravan Park
321926492,-36.4075485,148.306444,Blue Lake lookout
324197823,-33.7187109,150.3833033,Blue Mountains Hotel/Motel
324832608,-36.993153,147.4881561,The Blue Duck Inn
327099827,-27.465942,152.9976178,Blue Room Cinebar
332209886,-37.2839429,142.9358413,Blue Duck Hotel
353776087,-27.568472,153.101141,Nardie Street at Blue Grass Crescent
391923117,-31.5232127,159.0621877,Blue Lagoon Lodge
395260521,-33.8409109,151.2066355,"Stand A, North Sydney Station Blue Street"
395260522,-33.840942,151.2068813,"Stand B, North Sydney Station Blue Street"
395260524,-33.8409716,151.2070981,"Stand C, North Sydney Station Blue Street"
395260525,-33.8410607,151.2076849,"Stand D, North Sydney Station Blue Street"
395260526,-33.8410941,151.2079382,"Stand E, North Sydney Station Blue Street (Set Down)"
426899449,-33.7444392,150.6100243,Blue Mountains Family Practice
448170790,-37.6535944,145.3044196,Blue Wren Theatre
472266953,-32.2546567,148.6100879,Blue Gum Motel
575675813,-37.8647259,144.9655744,Little Blue restaurant
585074787,-27.5066571,153.0636167,Blue Ocean Seafood
598476142,-37.9535881,143.3445607,Blue Yabby Cafe
599547975,-37.8435024,140.7733541,Blue Lake
599547985,-37.8429199,140.7748122,Blue Lake Lookout
600741536,-33.7653446,150.6201795,Mountain Blue Cafe
600744656,-33.767501,150.6216613,Blue Mountains Running Company
600771261,-33.7633809,150.6203094,Blue Mountains Creative Arts Centre
608998089,-37.80209,144.978072,Blue Chillies
616591342,-37.839114,144.9416376,Blue Illusion
627473204,-33.7316281,150.6294114,Blue Mountains City Church
634790260,-33.0825039,151.643727,Blue Pacific Motor Inn
641282347,-37.8445967,140.7708815,Blue Lake Lookout
654586644,-35.2558117,149.1375568,Blue Gum Community School
661980359,-27.0691322,153.2037226,Blue Pacific Hotel
687545404,-33.9575685,115.0701464,Blue Ginger
698657393,-33.7022535,150.5770322,Mountain Blue Cafe
705915693,-27.045156,152.7763725,Blue Rock Bend
729962200,-37.2862503,144.1197565,Blue Cliffs Retreat
752208872,-37.4312345,144.2973521,Blue Mountain
913265124,-33.807328,151.3068632,Blue Fish Point
954674305,-35.2784703,149.1281444,The Blue Olive
1115000383,-37.9279615,140.6799323,Little Blue Lake
1129148862,-37.4641401,139.9968929,Historic Blue Gum
1143624321,-29.6453093,152.927665,Blue Goose Hotel Motel
1281315652,-34.0510451,151.1526086,Blue Pacific Grill
1285979468,-27.4733038,152.7867559,Blue Gum Flat
1379729774,-31.5271141,152.542202,Blue Poles Cafe
1409756109,-33.8448052,121.9031622,Blue Waters Lodge
1411851673,-28.8695722,151.6240292,Blue Waterhole
1414284137,-37.9340658,145.0136614,Blue Sea - Fish and Chips
1436414508,-33.5391552,150.4226468,The Blue Mountains Botanic Gardens Visitor Centre
1539562496,-33.8847456,121.8604859,Blue Haven
1541742634,-27.4713038,153.0270265,The Blue Cat Fine
1553660946,-37.8324976,140.7782266,Shell Blue Lake
1613883956,-33.8675365,151.1937064,Blue Eye Dragon
1657344512,-37.8437153,140.7785296,Blue Lake Apex Lookout
1711225010,-31.0440153,149.3182242,Pilliga Pottery - Blue Wren Cafe
1714295054,-21.262536,148.8771908,Blue Mountain
1723724648,-36.988713,147.1486611,Blue Ribbon
1765776901,-21.4427621,149.0255596,Blue Mountain
1765787678,-21.6005778,148.9680603,Blue Mountain
1784658674,-37.5587184,149.7525636,Blue Wren Motel
1787914268,-37.0509316,149.9014233,The Blue Marlin Resort Motor Inn
1808391724,-37.17472,145.99833,Blue Gum Flat
1808391726,-37.78056,147.11278,Blue Pools Campground
1808391727,-36.9351777,146.0949224,Blue Range Creek Campground
1808392663,-37.389974,146.2489021,Blue Hole Reserve
1811162897,-21.5780691,141.9230699,Blue Heeler Caravan Park
1827485217,-21.5276615,148.9994165,Blue Mountain Homestead
1841274154,-28.8597105,153.5591536,Blue Sky
1861252463,-41.7152726,146.3735483,Blue Peaks
1907864835,-37.8124036,145.1713906,Blue Moon Cellars
1942572885,-16.7865004,145.6965279,Blue Lagoon Resort
1942572898,-16.7860041,145.6975177,Blue Moon
1950739224,-21.1376816,149.1807751,Blue Water Lagoon
1958246733,-33.5580131,148.6827508,Blue Jacket Lookout
2066389139,-21.1373014,149.1815502,Blue Water Lagoon Water Slide
2105370042,-33.7050806,150.5707015,Blue Gum Lodge
2121535790,-34.7171704,135.852616,Blue Seas Motel
2140216944,-27.4972622,151.9568786,Blue Mountain Heights
2172838702,-35.2961747,149.1070527,Blue Gum Point
2270170449,-37.826321,144.959354,Blue Planet
2271226909,-37.5396922,143.8296632,Blue Bell Hotel
2307188478,-37.8315546,140.800163,Blue Lake Motel
2375805183,-42.8947528,147.3278107,Blue Illusion
2381632365,-33.7163493,150.3106767,Blue Mountains Food Co-op
2391503808,-21.5786083,141.9235587,Blue Heeler Hotel and Motel
2395671590,-36.3860436,148.393073,Blue Cow Bistro
2395671696,-36.3858533,148.3930181,Blue Cow Webcam
2397382161,-34.0732018,150.7577364,Blue Tree
2403501940,-36.3872724,148.3945456,Mt Blue Calf
2404311397,-33.7895809,150.9962832,Blue Dragon Restaurant
2422638245,-24.621676,150.839031,Blue Mountain
2429996695,-32.2542846,148.6071017,Blue Lagoon
2461068208,-32.7515583,138.0743002,Blue Gum Flat Parking
2525152760,-27.675829,153.112532,Kurrajong Drive at Blue Gum Drive
2525152761,-27.676241,153.112987,Kurrajong Drive at Blue Gum Drive
2565944581,-36.3773665,148.3956925,Blue Cow Summit Webcam
2573959565,-33.4131108,149.6022494,Trinity Blue Bed and Breakfast
2603971427,-25.7788553,113.6914848,Blue Lagoon Pearls
2613244935,-34.0520373,151.1527823,Blue Illusion
2647193281,-20.5528839,147.8425192,Blue Nurses
2662100655,-32.5774181,148.9516513,Blue Hills
2681705168,-21.1397054,149.1880276,Blue Water Quay
2688336541,-28.1028224,153.421678,Blue Orange Catering
2691050654,-27.4800139,153.0127828,Blue Orange Catering
2755814252,-25.8624581,148.5539001,Blue Lagoon (abandoned)
2757744880,-35.9905521,137.1012827,Rustic Blue Gallery Cafe
2763940599,-33.5357675,150.2277604,Blue Hills Farm Retreat
2763942860,-33.6400582,150.284865,Blue Jax Restaurant
2805777800,-27.4761675,153.0206858,Blue Basement Cafe
2842151858,-16.65,145.1166667,Bakers Blue Mountain
2842151881,-17.3325,144.9994444,Blue Mountain
2844163123,-28.6366667,151.9702778,Blue Mountain
2844263533,-22.5,138.6658333,Blue Mountain
2844352623,-20.0069444,146.9116667,Blue Mountain
2867626441,-37.0910549,147.1181839,Mount Blue Rag
2985252976,-34.8682676,150.298602,Blue Yodel Pass
2985840369,-27.692124,153.065514,Green Road near Blue Wren Place
2985840370,-27.692441,153.066518,Green Road near Blue Wren Place
3002567210,-36.9247,148.11256,Blue Hill
3002567211,-36.1813184,149.2293097,Blue Peak
3005052161,-34.36982,146.4047,Blue Bush Hill
3005052162,-33.57999,145.87177,Blue Hill
3005052163,-35.53685,146.88769,Blue Hill
3008338725,-35.92939,149.37608,Blue Bull Peak
3008338726,-37.12576,146.74926,Blue Hills
3008338727,-37.12088,147.98026,Blue Shirt Hill
3008759535,-42.86119,147.79227,Big Blue Hill
3008759560,-42.83587,146.88602,Blue Gum Knob
3008759561,-42.33301,146.86187,Blue Hill
3008759562,-42.93852,147.02781,Blue Hill
3008759563,-41.16754,145.35999,Blue Peak
3008760080,-42.31107,146.8351,Little Blue Hill
3008901806,-35.21811,142.57021,Blue Hills
3008901807,-33.9719,136.15104,Blue Range
3019436891,-32.35618,149.41854,Blue Biddy Mountain
3019436892,-32.23503,151.07305,Blue Gum Top
3019436893,-30.6984,152.55604,Blue Knob
3019436894,-31.57739,152.1696,Blue Knob
3019436895,-30.8334,151.68894,Blue Mountain
3019436896,-32.57381,145.6608,Blue Mountain
3019436897,-30.22129,150.49265,Blue Nobby Mountain
3019436898,-30.70246,151.86085,Blue Nobby Mountain
3019436899,-28.98829,150.59052,Blue Nobby
3019436900,-32.11141,152.19115,Blue Top Mountain
3019436992,-31.41113,150.14405,Colly Blue Mountain
3019438018,-26.75808,142.27755,The Blue Hills
3020139948,-29.59081,119.57572,Blue Hill
3020139949,-29.29184,124.6444,Blue Robin Hill
3020150657,-17.98665,123.20006,Blue Hills
3020491119,-32.5224,115.69591,Blue Bay
3020491120,-11.21696,131.83867,Blue Mud Bay
3020491121,-13.47973,136.01043,Blue Mud Bay
3020491122,-20.04465,148.88062,Blue Pearl Bay
3039326567,-30.594866,151.7989729,Blue Hole Day Use Area
