x,y,objectid,asset_id,tree_type,species_name,common_name,tree_height,tree_canopy_ew,tree_canopy_ns,tree_status
151.219049474367,-33.8705183763466,43640,TS23122,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,4,3,Tree
151.229866458213,-33.8702243821124,43703,TP03656,Park Tree,Jacaranda mimosifolia,Jacaranda,8,6,10,Tree
151.229103463213,-33.8702143192915,43708,TP15532,Park Tree,Jacaranda mimosifolia,Jacaranda,4,1,1,Tree
151.210736351118,-33.901579322361,43753,TP08128,Park Tree,Lagerstroemia indica,Crepe Myrtle,5,3,3,Tree
151.210913460418,-33.9011303045531,43754,TP08139,Park Tree,Lagerstroemia indica,Crepe Myrtle,6,5,5,Tree
151.210922431915,-33.901094275149,43755,TP08142,Park Tree,Lagerstroemia indica,Crepe Myrtle,7,5,4,Tree
151.210762487361,-33.90212435244,43758,TS39562,Park Tree,Jacaranda mimosifolia,Jacaranda,3,2,2,Tree
151.210826417556,-33.9020303281557,43759,TS39563,Park Tree,Jacaranda mimosifolia,Jacaranda,3,2,2,Tree
151.228321401685,-33.8735120336044,43771,TP05547,Park Tree,Lagerstroemia indica,Crepe Myrtle,10,6,8,Tree
151.228183890039,-33.8736375629148,43793,TP06166,Park Tree,Jacaranda mimosifolia,Jacaranda,12,10,12,Tree
151.228250277776,-33.8749602967908,43800,TP08038,Park Tree,Lagerstroemia indica,Crepe Myrtle,6,4,5,Tree
151.216172370921,-33.878017404397,43837,TP03829,Park Tree,Lagerstroemia indica,Crepe Myrtle,8,6,5,Tree
151.186339571752,-33.8762522855994,43854,TP12189,Park Tree,Jacaranda mimosifolia,Jacaranda,7,8,5,Tree
151.19893481643,-33.8812532624171,43864,TP09367,Park Tree,Lagerstroemia indica,Crepe Myrtle,4,3,3,Tree
151.199056841883,-33.8811727176539,43865,TP09377,Park Tree,Lagerstroemia indica,Crepe Myrtle,5,3,4,Tree
151.199106036004,-33.8811520656271,43866,TP09381,Park Tree,Lagerstroemia indica,Crepe Myrtle,5,3,4,Tree
151.192670250128,-33.8694317780174,43974,TP12619,Park Tree,Jacaranda mimosifolia,Jacaranda,15,15,12,Tree
151.17963749329,-33.8740672667964,44019,TS26484,Street Tree,Lagerstroemia indica,Crepe Myrtle,3,4,3,Tree
151.184665728771,-33.8751901827156,44079,TS26774,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,9,10,Tree
151.184450011813,-33.8749165727393,44080,TS26777,Street Tree,Lagerstroemia indica,Crepe Myrtle,9,4,5,Tree
151.182082382885,-33.8786461387589,44083,TS26799,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,7,5,Tree
151.190146755895,-33.8763232454012,44084,TS26804,Street Tree,Jacaranda mimosifolia,Jacaranda,14,10,15,Tree
151.191737822143,-33.8783564048724,44090,TS26846,Street Tree,Jacaranda mimosifolia,Jacaranda,12,13,13,Tree
151.181994274533,-33.8780955907011,44100,TS26885,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,5,7,Tree
151.182892342237,-33.8775862843951,44104,TS40916,Street Tree,Lagerstroemia indica,Crepe Myrtle,3,1,1,Tree
151.183951363662,-33.8769040464252,44105,TS26894,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,3,3,Tree
151.183745266719,-33.8771150804473,44106,TS26900,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,3,2,Tree
151.18352271089,-33.8815454586018,44112,TS26942,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,4,4,Tree
151.183608620312,-33.8814913587768,44113,TS26944,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,4,5,Tree
151.194659445951,-33.8798853216536,44126,TS27009,Street Tree,Jacaranda mimosifolia,Jacaranda,4,2,3,Tree
151.185877840264,-33.8838107012473,44157,TS32344,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,5,5,Tree
151.187257964137,-33.8837140639221,44162,TS27203,Street Tree,Jacaranda mimosifolia,Jacaranda,8,7,6,Tree
151.189591878956,-33.884017827304,44169,TS32998,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,3,2,Tree
151.189374405024,-33.8791335250305,44179,TS27260,Street Tree,Jacaranda mimosifolia,Jacaranda,9,8,6,Tree
151.189736948232,-33.8795819672282,44180,TS27259,Street Tree,Jacaranda mimosifolia,Jacaranda,10,8,12,Tree
151.184094367725,-33.8735986716191,44186,TS27287,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,7,7,Tree
151.184405358153,-33.8734163249255,44187,TS27282,Street Tree,Lagerstroemia indica,Crepe Myrtle,7,5,6,Tree
151.177792324304,-33.8824423633955,44198,TS27376,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,5,7,Tree
151.177144201172,-33.8827151073933,44199,TS27384,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,6,4,Tree
151.19043034893,-33.8781142962231,44213,TS27439,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,4,4,Tree
151.19063104854,-33.8783733378702,44216,TS39424,Street Tree,Lagerstroemia indica,Crepe Myrtle,3,1,1,Tree
151.183995447519,-33.8757163868666,44257,TS39438,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,1,1,Tree
151.185485433756,-33.8748413832885,44258,TS39441,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,2,2,Tree
151.180865868217,-33.8826051974831,44259,TS27697,Street Tree,Jacaranda mimosifolia,Jacaranda,11,13,16,Tree
151.193057723283,-33.8819883170646,44316,TS27957,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,5,4,Tree
151.194409215027,-33.8817864869873,44322,TS27974,Street Tree,Jacaranda mimosifolia,Jacaranda,12,10,11,Tree
151.187949689486,-33.8785406941702,44325,TS27979,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,3,3,Tree
151.183919039632,-33.879500843108,44340,TS28062,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,3,2,Tree
151.181064431457,-33.8838094221668,44343,TS28072,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,5,5,Tree
151.180893773632,-33.8835926496112,44344,TS28086,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,3,5,Tree
151.185724424436,-33.8838207053479,44348,TS28096,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,5,8,Tree
151.187075019306,-33.8783230404832,44349,TS28130,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,6,5,Tree
151.187088982849,-33.878633984757,44351,TS28113,Street Tree,Jacaranda mimosifolia,Jacaranda,7,5,6,Tree
151.185645787506,-33.8913988196036,44374,TS23489,Street Tree,Jacaranda mimosifolia,Jacaranda,10,12,11,Tree
151.185686205224,-33.8912416112486,44375,TS23464,Street Tree,Jacaranda mimosifolia,Jacaranda,15,14,14,Tree
151.186899302991,-33.8912053707104,44376,TS23468,Street Tree,Jacaranda mimosifolia,Jacaranda,7,8,8,Tree
151.183045653398,-33.8912805059126,44377,TS23479,Street Tree,Jacaranda mimosifolia,Jacaranda,8,10,6,Tree
151.18292793651,-33.8915082608821,44378,TS23512,Street Tree,Jacaranda mimosifolia,Jacaranda,7,6,4,Tree
151.183061936095,-33.8914967116795,44379,TS23513,Street Tree,Jacaranda mimosifolia,Jacaranda,5,2,1,Tree
151.185458806341,-33.891400122869896,44380,TS23516,Street Tree,Jacaranda mimosifolia,Jacaranda,9,5,4,Tree
151.219405467195,-33.8728442516728,44384,TS23562,Street Tree,Jacaranda mimosifolia,Jacaranda,8,9,7,Tree
151.219957349913,-33.8729273420244,44385,TS23568,Street Tree,Jacaranda mimosifolia,Jacaranda,11,8,11,Tree
151.219737454089,-33.8728913411931,44386,TS23570,Street Tree,Jacaranda mimosifolia,Jacaranda,9,7,9,Tree
151.219743515278,-33.8782312870482,44453,TS34417,Street Tree,Jacaranda mimosifolia,Jacaranda,6,3,3,Tree
151.219177509339,-33.8751892791712,44520,TS24351,Street Tree,Jacaranda mimosifolia,Jacaranda,4,3,2,Tree
151.218606419227,-33.877283258056,44522,TS32657,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,1,1,Tree
151.19498636334,-33.8818212760783,44568,TS24648,Street Tree,Jacaranda mimosifolia,Jacaranda,13,15,11,Tree
151.195542396219,-33.8816933500095,44569,TS24654,Street Tree,Jacaranda mimosifolia,Jacaranda,5,2,1,Tree
151.216440365957,-33.8771453313169,44588,TS24797,Street Tree,Jacaranda mimosifolia,Jacaranda,9,7,4,Tree
151.194881452997,-33.8808222354204,44610,TS24940,Street Tree,Jacaranda mimosifolia,Jacaranda,5,5,5,Tree
